Type,SKU,Name,Published,Categories,Short description,Description,Tax status,In stock?,Stock,Regular price,Sale price,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Images
simple,LAPTOP-001,"15"" MacBook Pro",1,"Laptops","High-performance laptop for professionals","The MacBook Pro features a stunning Retina display, powerful M2 chip, and all-day battery life. Perfect for creative professionals & developers.",taxable,1,,2499.00,2299.00,4.5,14,10,0.8,1,
simple,LAPTOP-002,Dell XPS 13 Developer Edition,1,"Laptops","Ubuntu pre-installed for developers","Featuring 11th Gen Intel Core processors and a beautiful InfinityEdge display. Ships with Ubuntu 20.04 LTS. Ideal for coding, testing & deployment.",taxable,1,,1899.00,,3.2,12,8,0.6,1,
simple,LAPTOP-003,ThinkPad X1 Carbon (Gen 9),1,"Laptops","Business laptop with military-grade durability","Lightweight carbon-fiber construction meets military-grade testing (MIL-STD-810H). Features Intel vPro for enterprise security.",taxable,1,,1799.00,1599.00,2.5,12.7,8.5,0.6,1,
variable,MOUSE-001,O'Reilly's Gaming Mouse,1,"Gaming,Accessories","Ergonomic gaming mouse with RGB","Premium gaming mouse with 16,000 DPI sensor, customizable RGB lighting, and programmable buttons. Available in multiple colors.",taxable,1,,79.99,69.99,0.3,5,3,2,1,
simple,MOUSE-002,Logitech MX Master 3S,1,"Accessories","Wireless mouse for productivity","Ultra-fast scrolling, ergonomic design, and multi-device connectivity via Bluetooth or USB-C receiver. Works on any surface, even glass.",taxable,1,,99.99,,0.4,4.9,3.3,2,1,
simple,CABLE-001,"USB-C to USB-A Adapter (3-Pack)",1,"Cables & Adapters","Convert your USB-C ports","Three-pack of premium USB-C to USB-A adapters. Supports data transfer up to 10Gbps and charging up to 3A. Aluminum construction.",taxable,1,,24.99,19.99,0.1,2,1,0.5,1,
simple,CABLE-002,Thunderbolt 4 Cable (2m),1,"Cables & Adapters","40Gbps data transfer speed","Intel-certified Thunderbolt 4 cable supporting 40Gbps data transfer, dual 4K displays, and 100W charging. Compatible with USB4, USB 3.2, and DisplayPort.",taxable,1,,49.99,,0.2,79,1,0.5,1,
simple,CABLE-003,"HDMI 2.1 Cable - 8K@60Hz Support",1,"Cables & Adapters","Next-gen 8K cable for displays","Ultra High Speed HDMI cable supporting 8K@60Hz, 4K@120Hz, Dynamic HDR, eARC, and VRR. Perfect for PS5, Xbox Series X, and high-end PCs.",taxable,1,,29.99,,0.3,6.5,6,1,1,
simple,HUB-001,7-Port USB 3.0 Hub,1,"Accessories","Expand your connectivity","Self-powered USB 3.0 hub with seven ports. Includes 12V/4A power adapter for charging tablets and external drives. Individual LED indicators per port.",taxable,1,,39.99,34.99,0.5,5,3,1,1,
simple,DOCK-001,USB-C Docking Station (Dual 4K),1,"Accessories","Complete desktop solution","14-in-1 docking station with dual 4K HDMI, 100W PD charging, Ethernet, SD/microSD, USB-A & USB-C ports. Single cable solution for laptops.",taxable,1,,249.99,229.99,1.2,8,4,1.5,1,
simple,KEYBOARD-001,"Mechanical Keyboard - Cherry MX Blue",1,"Gaming,Accessories","Clicky mechanical keyboard","Full-size mechanical keyboard with Cherry MX Blue switches, N-key rollover, and customizable RGB per-key lighting. Aluminum frame construction.",taxable,1,,159.99,139.99,2.5,17,6,1.5,1,
simple,KEYBOARD-002,Keychron K8 Wireless,1,"Accessories","Mac & Windows compatible","Hot-swappable wireless mechanical keyboard. Works with macOS, Windows, Linux, iOS & Android. Includes Mac and Windows keycaps.",taxable,1,,99.99,,1.8,14,5,1.6,1,
simple,MONITOR-001,"27"" 4K IPS Monitor",1,"Monitors","Professional color accuracy","27-inch 4K UHD (3840x2160) IPS display with 99% sRGB coverage, HDR10 support, and USB-C connectivity with 65W power delivery.",taxable,1,,499.99,449.99,15,24,9,18,1,
simple,MONITOR-002,"34"" Ultrawide Curved Gaming Monitor",1,"Gaming,Monitors","Immersive gaming experience","34-inch 21:9 ultrawide WQHD (3440x1440) curved VA panel. 144Hz refresh rate, 1ms MPRT, G-Sync compatible, and DisplayHDR 400.",taxable,1,,699.99,649.99,18,32,10,19,1,
simple,WEBCAM-001,4K Webcam with Auto-Framing,1,"Accessories","AI-powered video conferencing","4K UHD webcam with AI auto-framing, dual microphones with noise reduction, and built-in privacy shutter. Works with Zoom, Teams & Meet.",taxable,1,,199.99,,0.4,4,3,3,1,
simple,MIC-001,USB Condenser Microphone,1,"Accessories","Studio-quality audio","Cardioid condenser microphone with zero-latency monitoring, gain control, and mute button. Includes shock mount and pop filter.",taxable,1,,129.99,109.99,1.2,7,4,10,1,
simple,HEADSET-001,Wireless Noise-Canceling Headset,1,"Accessories","Focus on what matters","Active noise cancellation, 30-hour battery life, and multi-device pairing. Optimized for Microsoft Teams, Zoom & Google Meet.",taxable,1,,279.99,249.99,0.7,7,6,3,1,
simple,TABLET-001,"iPad Pro 12.9"" (6th Gen)",1,"Tablets","M2 chip performance","12.9-inch Liquid Retina XDR display, M2 chip, 5G connectivity, and support for Apple Pencil (2nd gen) & Magic Keyboard.",taxable,1,,1099.00,1049.00,1.5,11,8.5,0.25,1,
